ID,NAME
1,Aam Ka Panna
2,Aam Sandesh
3,Aamras
4,Achar
5,Achari Chana Pulao
6,Adai Dosai
7,Adai Uttapam
8,Adark
9,Affogato
10,Afgani Chicken
11,Afghani Chicken Biryani
12,Afghani Murgh Tikka
13,Aglio Oglio Pasta
14,Ajmer Cake
15,Akki Roti
16,Al Faham Chicken
17,Alasande Vada
18,Alfredo Pasta
19,Allepy Chicken Curry
20,Almond
21,Aloo Bhaji
22,Aloo Bhature
23,Aloo Bhindi
24,Aloo Biryani
25,Aloo Bonda
26,Aloo Bun
27,Aloo Bhurji
28,Aloo Chaat
29,Aloo Chilli
30,Aloo Chop
31,Aloo Dum
32,Aloo Gobi
33,Aloo Gobi Paratha
34,Aloo Jeera
35,Aloo Manchurian
36,Aloo Masala
37,Aloo Masala Cheese Sandwich
38,Aloo Masala Sandwich
39,Aloo Mutter
40,Aloo Methi Paratha
41,Aloo Mutter Curry
42,Aloo Mutter Kulcha
43,Aloo Pyaaz Kulcha
44,Aloo Mutter Masala
45,Aloo Palak
46,Aloo Paratha
47,Aloo Patty
48,Aloo Patty Salad
49,Aloo Puri
50,Aloo Pyaz Paratha
51,Aloo Sabzi
52,Aloo Samosa
53,Aloo Sandwich
54,Aloo Tamatar
55,Aloo Tikki
56,Aloo Tikki Chaat
57,Aloo Tikki Ragda Chaat
58,Aloo Tikki Burger
59,Aloo Tikki Sandwich
60,Amrakhand
61,Ambuli Juice
62,Ambur Biryani
63,American Chocomax
64,Americano
65,Amriti
66,Amritsar Chicken
67,Amritsari Fish Fry
68,Anchovy Fish Fry
69,Andhra Chilli Chicken
70,Andhra Kara Dosa
71,Andhra Special Chicken Biryani
72,Andhra Special Veg Biryani
73,Andhra Veg Biryani
74,Anjeer Milk Shake
75,Anjeer Peda
76,Appalam
77,Appe
78,Appe Lollypop
79,Appe Pizza
80,Apple
81,Apple Tart
82,Apple Cinnamon Tart
83,Apple Fruit Shake
84,Apple Juice
85,Apple Milk Shake
86,Apple Muffin
87,Apple Pie
88,Arabian Roll
89,Arabic Kabooli Rice
90,Arabic Kabuli
91,Arisi Paruppu Sadam
92,Assorted Bajji
93,Assorted Veg Paneer Sandwich
94,Atho Chicken
95,Atho Egg
96,Atho Egg Chicken
97,Avakaya Chicken Biryani
98,Avakaya Mutton Biryani
99,Avalakki Bath
100,Avial
101,Avocado Milkshake
102,Awadhi Chicken Biryani
103,Awadhi Veg Biryani
104,Azadi Non Veg
105,BBQ Chicken
106,BBQ Chicken Burger
107,BBQ Chicken Salad
108,BBQ Paneer
109,BBQ Paneer Puff
110,Baby Corn
111,Baby Corn 65 Biryani
112,Baby Corn Chilli
113,Baby Corn Fried Rice
114,Baby Corn Masala Dosa
115,Baby Corn Mushroom Masala Dosa
116,Baby Corn Pakoda
117,Baby Corn Paneer Biryani
118,Baby Corn Pepper Masala
119,Baby Corn Puff
120,Baby Corn Salad
121,Baby Corn Tikka
122,Babycorn Cheese Sandwich
123,Babycorn Dosa
124,Babycorn Manchurian
125,Babycorn Mushroom Biryani
126,Badam Milk
127,Badam Peda
128,Badam Pheni
129,Badam Shake
130,Badam Chai Tea
131,Baigan Bharta
132,Baigan Bharwa
133,Baked Cheese Cake
134,Baked Chicken Au Gratin
135,Baked Chicken Eggplant Moussaka
136,Baked Eggplant Moussaka
137,Balushahi
138,Banana
139,Banana Bajji
140,Banana Bonda
141,Banana Cake Slice
142,Banana Caramel Cake
143,Banana Cashew Cake
144,Banana Chocolate Cake
145,Banana Chocolate Cake Shake
146,Banana Fry
147,Banana Honey Milk Shake
148,Banana Lassi
149,Banana Milkshake
150,Banana Pancakes
151,Banana Rasayana
152,Banga Chicken
153,Banga Egg
154,Barfi
155,Barracuda Fish Fry
156,Basbousa
157,Basil Pesto Pasta
158,Basmati Rice
159,Basundi
160,Batani Curry
